1.5,Both,On Toe
2.5,Both,Done
3,R,Step
3.5,R,Back
4,L,Step
4.5,L,Back
5.5,Both,On Toe
6.5,Both,Done
7,Both,Cross
8,Both,Back
9.5,Both,On Toe
10.5,Both,Done
11,R,Step
11.5,R,Back
12,L,Step
12.5,L,Back
13.5,Both,On Toe
14.5,Both,Done
15,Both,Cross
16,Both,Back
