
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
86,-19.103100,2.481265,0.040909,0.327269,0.944045,1f96,1f4c,1f22,  -1.150,   2.550,   4.650,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6f,1f76,1f92,   0.800,   0.450,  -0.950
97,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8d,1f56,1f27,  -0.700,   2.050,   4.400,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6f,1f76,1f92,   0.800,   0.450,  -0.950
107,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8c,1f58,1f26,  -0.650,   1.950,   4.450,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6f,1f76,1f92,   0.800,   0.450,  -0.950
112,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8b,1f58,1f20,  -0.600,   1.950,   4.750,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6e,1f75,1f9c,   0.850,   0.500,  -1.450
115,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8b,1f58,1f20,  -0.600,   1.950,   4.750,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f71,1f7b,1f98,   0.700,   0.200,  -1.250
119,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8b,1f58,1f20,  -0.600,   1.950,   4.750,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f71,1f7b,1f98,   0.700,   0.200,  -1.250
133,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8f,1f56,1f1c,  -0.800,   2.050,   4.950,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f68,1f78,1f93,   1.150,   0.350,  -1.000
138,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8f,1f56,1f1c,  -0.800,   2.050,   4.950,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f76,1f6f,1f8c,   0.450,   0.800,  -0.650
144,-19.103100,2.481265,0.040909,0.327269,0.944045,1f88,1f56,1f26,  -0.450,   2.050,   4.450,-28.638971,-5.440332,-0.083210,0.479289,0.873704,1f73,1f78,1f94,   0.600,   0.350,  -1.050
149,-19.103100,2.481265,0.040909,0.327269,0.944045,1f95,1f49,1f28,  -1.100,   2.700,   4.350,-28.638971,-5.440332,-0.083210,0.479289,0.873704,1f73,1f78,1f94,   0.600,   0.350,  -1.050
154,-18.392607,2.382131,0.039441,0.315527,0.948097,1f8d,1f4b,1f1d,  -0.700,   2.600,   4.900,-28.638971,-5.440332,-0.083210,0.479289,0.873704,1f73,1f78,1f94,   0.600,   0.350,  -1.050
160,-18.392607,2.382131,0.039441,0.315527,0.948097,1f8d,1f4b,1f1d,  -0.700,   2.600,   4.900,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f70,1f74,1f97,   0.750,   0.550,  -1.200
165,-18.392607,2.382131,0.039441,0.315527,0.948097,1f8b,1f47,1f1b,  -0.600,   2.800,   5.000,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f72,1f6f,1f92,   0.650,   0.800,  -0.950
171,-18.392607,2.382131,0.039441,0.315527,0.948097,1f8b,1f47,1f1b,  -0.600,   2.800,   5.000,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f72,1f6f,1f92,   0.650,   0.800,  -0.950
176,-18.392607,2.382131,0.039441,0.315527,0.948097,1f99,1f40,1f26,  -1.300,   3.150,   4.450,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6c,1f78,1f94,   0.950,   0.350,  -1.050
179,-18.392607,2.382131,0.039441,0.315527,0.948097,1f99,1f40,1f26,  -1.300,   3.150,   4.450,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6c,1f78,1f94,   0.950,   0.350,  -1.050
184,-19.103100,2.481265,0.040909,0.327269,0.944045,1f97,1f42,1f1a,  -1.200,   3.050,   5.050,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6c,1f78,1f94,   0.950,   0.350,  -1.050
189,-19.103100,2.481265,0.040909,0.327269,0.944045,1f97,1f42,1f1a,  -1.200,   3.050,   5.050,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6f,1f78,1f92,   0.800,   0.350,  -0.950
193,-19.103100,2.481265,0.040909,0.327269,0.944045,1f97,1f42,1f1a,  -1.200,   3.050,   5.050,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6f,1f78,1f92,   0.800,   0.350,  -0.950
198,-19.103100,2.481265,0.040909,0.327269,0.944045,1f97,1f42,1f1a,  -1.200,   3.050,   5.050,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6a,1f77,1f91,   1.050,   0.400,  -0.900
203,-19.103100,2.481265,0.040909,0.327269,0.944045,1f97,1f42,1f1a,  -1.200,   3.050,   5.050,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6a,1f77,1f91,   1.050,   0.400,  -0.900
210,-19.103100,2.481265,0.040909,0.327269,0.944045,1f94,1f40,1f12,  -1.050,   3.150,   5.450,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f6f,1f76,1f90,   0.800,   0.450,  -0.850
216,-19.103100,2.481265,0.040909,0.327269,0.944045,1f98,1f45,1f1f,  -1.250,   2.900,   4.800,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f70,1f76,1f8c,   0.750,   0.450,  -0.650
220,-19.103100,2.481265,0.040909,0.327269,0.944045,1f98,1f45,1f1f,  -1.250,   2.900,   4.800,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f70,1f76,1f8c,   0.750,   0.450,  -0.650
226,-19.103100,2.481265,0.040909,0.327269,0.944045,1f91,1f49,1f29,  -0.900,   2.700,   4.300,-28.638971,-5.440332,-0.083210,0.479289,0.873704,1f79,1f73,1f96,   0.300,   0.600,  -1.150
230,-19.103100,2.481265,0.040909,0.327269,0.944045,1f91,1f49,1f29,  -0.900,   2.700,   4.300,-28.638971,-5.440332,-0.083210,0.479289,0.873704,1f79,1f73,1f96,   0.300,   0.600,  -1.150
234,-19.103100,2.481265,0.040909,0.327269,0.944045,1f90,1f4d,1f2b,  -0.850,   2.500,   4.200,-28.638971,-5.440332,-0.083210,0.479289,0.873704,1f79,1f73,1f96,   0.300,   0.600,  -1.150
240,-19.103100,2.481265,0.040909,0.327269,0.944045,1f90,1f4d,1f2b,  -0.850,   2.500,   4.200,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f70,1f7b,1f90,   0.750,   0.200,  -0.850
245,-19.103100,2.481265,0.040909,0.327269,0.944045,1f92,1f51,1f21,  -0.950,   2.300,   4.700,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f75,1f78,1f96,   0.500,   0.350,  -1.150
251,-19.103100,2.481265,0.040909,0.327269,0.944045,1f92,1f51,1f21,  -0.950,   2.300,   4.700,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f75,1f78,1f96,   0.500,   0.350,  -1.150
255,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8c,1f51,1f2c,  -0.650,   2.300,   4.150,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f75,1f78,1f96,   0.500,   0.350,  -1.150
259,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8c,1f51,1f2c,  -0.650,   2.300,   4.150,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f70,1f7b,1f93,   0.750,   0.200,  -1.000
263,-19.103100,2.481265,0.040909,0.327269,0.944045,1f89,1f51,1f21,  -0.500,   2.300,   4.700,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f70,1f7b,1f93,   0.750,   0.200,  -1.000
268,-19.103100,2.481265,0.040909,0.327269,0.944045,1f89,1f51,1f21,  -0.500,   2.300,   4.700,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f68,1f7f,1f94,   1.150,   0.000,  -1.050
273,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8e,1f58,1f27,  -0.750,   1.950,   4.400,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f68,1f7f,1f94,   1.150,   0.000,  -1.050
278,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8e,1f58,1f27,  -0.750,   1.950,   4.400,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f65,1f74,1f93,   1.300,   0.550,  -1.000
283,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8e,1f58,1f27,  -0.750,   1.950,   4.400,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f65,1f74,1f93,   1.300,   0.550,  -1.000
290,-19.103100,2.481265,0.040909,0.327269,0.944045,1f93,1f58,1f28,  -1.000,   1.950,   4.350,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f60,1f70,1f9f,   1.550,   0.750,  -1.600
295,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8f,1f61,1f2c,  -0.800,   1.500,   4.150,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f60,1f70,1f9f,   1.550,   0.750,  -1.600
300,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8f,1f61,1f2c,  -0.800,   1.500,   4.150,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f54,1f70,1fa0,   2.150,   0.750,  -1.650
304,-19.053480,4.953257,0.081613,0.326451,0.941684,1f87,1f4b,1f39,  -0.400,   2.600,   3.500,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f54,1f70,1fa0,   2.150,   0.750,  -1.650
