Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
207d,1eed,2305,-12.7,7.3,-45.1
207d,1eed,2305,-12.7,7.3,-45.1
2085,1f7b,228d,-13.1,0.2,-39.1
2085,1f7b,228d,-13.1,0.2,-39.1
2057,1f91,2370,-10.8,-0.9,-50.45
1ff2,1eda,28df,-5.75,8.25,-120
1ff2,1eda,28df,-5.75,8.25,-120
2032,1f1c,2816,-8.95,4.95,-109.95
2050,1f63,2537,-10.45,1.4,-73.2
2096,1fd6,21a9,-13.95,-4.35,-27.7
20d2,1fba,2125,-16.95,-2.95,-21.1
20c1,1ee6,217e,-16.1,7.65,-25.55
2091,1ed3,211b,-13.7,8.6,-20.6
2091,1ed3,211b,-13.7,8.6,-20.6
2082,1eec,223b,-12.95,7.35,-35
206b,1ed3,25ba,-11.8,8.6,-79.75
206b,1ed3,25ba,-11.8,8.6,-79.75
1faf,1.00E+13,292a,-2.4,18.2,-123.75
1fa6,1f3f,2594,-1.95,3.2,-77.85
1fa6,1f3f,2594,-1.95,3.2,-77.85
2014,1fe8,22fd,-7.45,-5.25,-44.7
205d,1fe4,2355,-11.1,-5.05,-49.1
204d,1f19,264f,-10.3,5.1,-87.2
204d,1f19,264f,-10.3,5.1,-87.2
204d,1f19,264f,-10.3,5.1,-87.2
2087,1f68,2343,-13.2,1.15,-48.2
2044,2038,2279,-9.85,-9.25,-38.1
2019,2039,2352,-7.7,-9.3,-48.95
2028,204a,248b,-8.45,-10.15,-64.6
1f6f,1f8d,2700,0.8,-0.7,-96.05
1f5e,1faf,26a3,1.65,-2.4,-91.4
1fbc,200d,225f,-3.05,-7.1,-36.8
1fbc,200d,225f,-3.05,-7.1,-36.8
1f87,1f68,230f,-0.4,1.15,-45.6
1f80,1f1d,2651,-0.05,4.9,-87.3
1eb1,1ee6,283f,10.3,7.65,-112
1ebf,1f41,272b,9.6,3.1,-98.2
1ebf,1f41,272b,9.6,3.1,-98.2
1f52,1fc9,2194,2.25,-3.7,-26.65
1f52,1fc9,2194,2.25,-3.7,-26.65
1ee9,1f72,23be,7.5,0.65,-54.35
1ee9,1f72,23be,7.5,0.65,-54.35
1dfe,1f1b,2a8a,19.25,5,-141.35
1dfe,1f1b,2a8a,19.25,5,-141.35
1e4f,1ffd,257c,15.2,-6.3,-76.65
1e4f,1ffd,257c,15.2,-6.3,-76.65
1ef2,1ff8,21b7,7.05,-6.05,-28.4
1ef2,1ff8,21b7,7.05,-6.05,-28.4
1ec0,2036,2190,9.55,-9.15,-26.45
1.00E+59,20b9,2.40E+05,14.7,-15.7,-69.05
1.00E+59,20b9,2.40E+05,14.7,-15.7,-69.05
1db3,20cc,27fa,23,-16.65,-108.55
1dfe,20b3,27ed,19.25,-15.4,-107.9
1e6e,20a0,2.40E+06,13.65,-14.45,-69.1
1eea,2093,20fc,7.45,-13.8,-19.05
1ebc,204d,22ce,9.75,-10.3,-42.35
1.00E+06,201c,2956,18.85,-7.85,-125.95
1d34,1ff7,2e8b,29.35,-6,-192.6
1.00E+78,204c,27d3,13.15,-10.25,-106.6
1.00E+78,204c,27d3,13.15,-10.25,-106.6
1f73,2048,2029,0.6,-10.05,-8.5
1fe2,1f6d,1f34,-4.95,0.9,3.75
2025,1f22,1f1b,-8.3,4.65,5
203d,1ed0,1f36,-9.5,8.75,3.65
1fc0,1eb0,1f6b,-3.25,10.35,1
1ffe,1ea9,1fae,-6.35,10.7,-2.35
2009,1.00E+70,1fb8,-6.9,13.55,-2.85
2033,1e5a,2019,-9,14.65,-7.7
2068,1.00E+17,2104,-11.65,18,-19.45
2008,1.00E+01,20ef,-6.85,19.1,-18.4
1fbf,1dd1,2134,-3.2,21.5,-21.85
1fca,1.00E+03,1f04,-3.75,19,6.15
1fe7,1.00E+84,1f02,-5.2,12.55,6.25
2048,1eaf,1e6c,-10.05,10.4,13.75
2122,1f1b,1d1a,-20.95,5,30.65
2122,1f1b,1d1a,-20.95,5,30.65
2175,1ef0,1c5c,-25.1,7.15,40.15
2211,1e9c,1bde,-32.9,11.35,46.45
224b,1.00E+93,1c6a,-35.8,11.8,39.45
21dd,1ec3,1e1f,-30.3,9.4,17.6
2105,1f17,20ae,-19.5,5.2,-15.15
1fe6,1f31,2.00E+10,-5.15,3.9,-18.1
1f7c,1f43,20b3,0.15,3,-15.4
1fb5,1f49,20cd,-2.7,2.7,-16.7
1ff1,1f52,21f5,-5.7,2.25,-31.5
1ff1,1f52,21f5,-5.7,2.25,-31.5
2050,1ed3,23a1,-10.45,8.6,-52.9
2050,1ed3,23a1,-10.45,8.6,-52.9
209d,1.00E+83,2.40E+05,-14.3,12.6,-69.05
2062,1e3b,25b9,-11.35,16.2,-79.7
203e,1dde,2472,-9.55,20.85,-63.35
1fe1,1ddc,23fe,-4.9,20.95,-57.55
1f04,1e2b,2328,6.15,17,-46.85
1.00E+82,1.00E+74,22ec,12.65,13.35,-43.85
1.00E+48,1e7a,2593,15.55,13.05,-77.8
1.00E+63,1dcd,2776,14.2,21.7,-101.95
1.00E+63,1dcd,2776,14.2,21.7,-101.95
1.00E+59,1daa,26c9,14.7,23.45,-93.3
1.00E+83,1dd4,24cf,12.6,21.35,-68
1edf,1e4d,2438,8,15.3,-60.45
1e9d,1.00E+93,26af,11.3,11.8,-92
1ed2,1ea9,2656,8.65,10.7,-87.55
1ec6,1.00E+97,25d9,9.25,11.6,-81.3
1ee3,1eae,2467,7.8,10.45,-62.8
1ec0,1ee3,259b,9.55,7.8,-78.2
1dfc,1ee5,2acb,19.35,7.7,-144.6
1dd4,1edb,2a64,21.35,8.2,-139.45
1.00E+77,1f3e,248f,13.2,3.25,-64.8
1.00E+77,1f3e,248f,13.2,3.25,-64.8
1ecc,1f74,252d,8.95,0.55,-72.7
1f22,1ede,24d0,4.65,8.05,-68.05
1f22,1ede,24d0,4.65,8.05,-68.05
1f7e,1f0e,21d7,0.05,5.65,-30
1f7e,1f0e,21d7,0.05,5.65,-30
1f81,1f60,2585,-0.1,1.55,-77.1
1f81,1f60,2585,-0.1,1.55,-77.1
1f81,1f60,2585,-0.1,1.55,-77.1
1f19,1f1f,25d5,5.1,4.8,-81.1
1fbb,1f9c,23f4,-3,-1.45,-57.05
1fbb,1f9c,23f4,-3,-1.45,-57.05
1f1b,1eda,271a,5,8.25,-97.35
1f1b,1eda,271a,5,8.25,-97.35
1f0f,1edf,253a,5.6,8,-73.35
1f60,1f45,24c0,1.55,2.9,-67.25
1f60,1f45,24c0,1.55,2.9,-67.25
1f97,1f73,2568,-1.2,0.6,-75.65
1f9a,1f5e,22fe,-1.35,1.65,-44.75
1f9a,1f5e,22fe,-1.35,1.65,-44.75
1f92,1f39,2307,-0.95,3.5,-45.2
1f4a,1f1a,272e,2.65,5.05,-98.35
1f0c,1f1d,2743,5.75,4.9,-99.4
1f10,1f36,2813,5.55,3.65,-109.8
1f53,1f79,29c3,2.2,0.3,-131.4
1fbb,1f9c,29ef,-3,-1.45,-133.6
1ffb,1f50,299b,-6.2,2.35,-129.4
2012,1f23,2959,-7.35,4.6,-126.1
2022,1f07,28f5,-8.15,6,-121.1
2024,1f06,2.80E+10,-8.25,6.05,-120.5
2030,1ef5,28b6,-8.85,6.9,-117.95
2065,1edf,2855,-11.5,8,-113.1
209b,1eee,2747,-14.2,7.25,-99.6
209a,1ee9,26d7,-14.15,7.5,-94
2063,1ebd,265e,-11.4,9.7,-87.95
2063,1ebd,265e,-11.4,9.7,-87.95
202a,1f12,23a5,-8.55,5.45,-53.1
2007,1f45,247e,-6.8,2.9,-63.95
2007,1f45,247e,-6.8,2.9,-63.95
2008,1fb7,2519,-6.85,-2.8,-71.7
2008,1fb7,2519,-6.85,-2.8,-71.7
1ff9,1ff9,24a8,-6.1,-6.1,-66.05
1fc6,1fc7,23f0,-3.55,-3.6,-56.85
1fc6,1fc7,23f0,-3.55,-3.6,-56.85
1f53,1f92,25be,2.2,-0.95,-79.95
1f53,1f92,25be,2.2,-0.95,-79.95
1f3f,1f88,2590,3.2,-0.45,-77.65
1f3f,1f7f,25cb,3.2,0,-80.6
1f1d,1fb9,25ff,4.9,-2.9,-83.2
1f12,1fd4,2594,5.45,-4.25,-77.85
1f72,2036,23a5,0.65,-9.15,-53.1
1f6e,2005,237f,0.85,-6.7,-51.2
1f65,1faa,22a1,1.3,-2.15,-40.1
1f64,1f8d,2222,1.35,-0.7,-33.75
1f37,1f79,2410,3.6,0.3,-58.45
1f5d,1f09,23df,1.7,5.9,-56
1f7f,1ef0,236e,0,7.15,-50.35
1f99,1ee5,23a2,-1.3,7.7,-52.95
1fae,1ef1,2409,-2.35,7.1,-58.1
1fc6,1f05,2434,-3.55,6.1,-60.25
1fff,1f3a,23ed,-6.4,3.45,-56.7
204c,1f10,2205,-10.25,5.55,-32.3
2057,1f31,217c,-10.8,3.9,-25.45
202e,1f78,2187,-8.75,0.35,-26
1ff7,1f79,2188,-6,0.3,-26.05
1fb8,1f5c,23fc,-2.85,1.75,-57.45
1f6f,1f75,24d3,0.8,0.5,-68.2
1f1d,1ee5,2929,4.9,7.7,-123.7
1f1d,1ee5,2929,4.9,7.7,-123.7
1e8c,1.00E+75,2cc2,12.15,13.3,-169.75
1e8c,1.00E+75,2cc2,12.15,13.3,-169.75
1e4f,1eca,2e9f,15.2,9.05,-193.6
1d99,1f10,3.10E+05,24.3,5.55,-235.45
1c5c,1f40,3553,40.15,3.15,-279.4
1c23,213a,3406,43,-22.15,-262.75
1d19,2296,3.10E+06,30.7,-39.55,-235.5
1ebd,222f,2.00E+19,9.7,-34.4,-186.9
1f20,212d,2980,4.75,-21.5,-128.05
1f20,212d,2980,4.75,-21.5,-128.05
1ed9,1f3e,2189,8.3,3.25,-26.1
1ed9,1f3e,2189,8.3,3.25,-26.1
1f98,1fe1,241b,-1.25,-4.9,-59
1f98,1fe1,241b,-1.25,-4.9,-59
1fce,2017,2404,-3.95,-7.6,-57.85
1fce,2017,2404,-3.95,-7.6,-57.85
1f9d,1fc9,244c,-1.5,-3.7,-61.45
1f6f,1f7b,248c,0.8,0.2,-64.65
1f70,1f07,2517,0.75,6,-71.6
1fc0,1f08,24f7,-3.25,5.95,-70
1ff9,1ee9,2518,-6.1,7.5,-71.65
2012,1ec9,247d,-7.35,9.1,-63.9
200a,1eb3,2526,-6.95,10.2,-72.35
2017,1f14,24b5,-7.6,5.35,-66.7
204d,1ece,211e,-10.3,8.85,-20.75
205c,1eeb,21d9,-11.05,7.4,-30.1
2039,1f23,23ac,-9.3,4.6,-53.45
2032,1eb4,24ae,-8.95,10.15,-66.35
2018,1e6e,2498,-7.65,13.65,-65.25
2015,1e7b,23c2,-7.5,13,-54.55
2036,1f72,2430,-9.15,0.65,-60.05
2067,1f0d,20cb,-11.6,5.7,-16.6
205c,1efd,21d3,-11.05,6.5,-29.8
2048,1eb0,2451,-10.05,10.35,-61.7
2038,1e9c,2409,-9.25,11.35,-58.1
2038,1e9c,2409,-9.25,11.35,-58.1
2050,1f80,255d,-10.45,-0.05,-75.1
209c,1f02,2292,-14.25,6.25,-39.35
209c,1f02,2292,-14.25,6.25,-39.35
2066,1f00,2359,-11.55,6.35,-49.3
2065,1f08,276a,-11.5,5.95,-101.35
1fd6,1.00E+93,29d0,-4.35,11.8,-132.05
1fd2,1f52,2829,-4.15,2.25,-110.9
1fd2,1f52,2829,-4.15,2.25,-110.9
1f86,1f7d,2993,-0.35,0.1,-129
1fae,2020,2b5d,-2.35,-8.05,-151.9
1fae,2020,2b5d,-2.35,-8.05,-151.9
2060,2045,29ac,-11.25,-9.9,-130.25
2060,2045,29ac,-11.25,-9.9,-130.25
2134,202f,2808,-21.85,-8.8,-109.25
218c,2012,28c1,-26.25,-7.35,-118.5
2088,1f84,2fe3,-13.25,-0.25,-209.8
2088,1f84,2fe3,-13.25,-0.25,-209.8
2000,1f8a,3247,-6.45,-0.55,-240.4
2021,2078,2f55,-8.1,-12.45,-202.7
21d2,211d,266e,-29.75,-20.7,-88.75
21f1,20d1,22c7,-31.3,-16.9,-42
2228,1fa8,2346,-34.05,-2.05,-48.35
2252,1f1d,23b7,-36.15,4.9,-54
2211,1f07,2326,-32.9,6,-46.75
217a,1f27,2222,-25.35,4.4,-33.75
2107,1f1f,2265,-19.6,4.8,-37.1
2107,1f1f,2265,-19.6,4.8,-37.1
213a,1de7,262d,-22.15,20.4,-85.5
213a,1de7,262d,-22.15,20.4,-85.5
2088,1.00E+50,2479,-13.25,15.15,-63.7
1fb7,1.00E+77,2442,-2.8,13.2,-60.95
1f59,1f39,2985,1.9,3.5,-128.3
1f3c,1ea3,2551,3.35,11,-74.5
1f42,1ec5,2529,3.05,9.3,-72.5
1f42,1ec5,2529,3.05,9.3,-72.5
1f3e,1e9e,25b7,3.25,11.25,-79.6
1f44,1e7a,2577,2.95,13.05,-76.4
1f31,1.00E+55,254a,3.9,14.9,-74.15
1f1a,1.00E+43,25f6,5.05,15.8,-82.75
1ee4,1.00E+57,236f,7.75,14.8,-50.4
1.00E+97,1.00E+84,22c0,11.6,12.55,-41.65
1.00E+58,1eef,21f9,14.75,7.2,-31.7
1.00E+43,1ecc,2159,15.8,8.95,-23.7
1.00E+53,1ecb,2238,15,9,-34.85
1.00E+38,1edc,232d,16.35,8.15,-47.1
1.00E+76,1ec9,2048,13.25,9.1,-10.05
1eac,1ee0,1fdc,10.55,7.95,-4.65
1.00E+92,1f47,1fdb,11.85,2.8,-4.6
1e5b,1f9f,1f11,14.6,-1.6,5.5
1.00E+45,1fd6,1.00E+14,15.7,-4.35,18.15
1.00E+49,201a,1d96,15.5,-7.75,24.45
1.00E+56,204e,1cc2,14.85,-10.35,35.05
1.00E+67,2050,1b2f,14,-10.45,55.2
1.00E+40,2085,1.80E+03,15.95,-13.1,84.65
1.00E+24,20c0,176b,17.35,-16.05,103.4
1b71,217e,1d64,51.9,-25.55,26.95
1afb,2038,228d,57.8,-9.25,-39.1
1c13,2011,25c7,43.8,-7.3,-80.4
1ca6,207c,24c7,36.45,-12.65,-67.6
1c9b,21f5,23df,37,-31.5,-56
1db0,2267,2495,23.15,-37.2,-65.1
