Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
20a8,1f40,1fcf,-14.85,3.15,-4
20a6,1f38,1f88,-14.75,3.55,-0.45
20b2,1f36,1f7a,-15.35,3.65,0.25
20d9,1f2c,1f40,-17.3,4.15,3.15
20f9,1f2a,1f0a,-18.9,4.25,5.85
2115,1f33,1f0a,-20.3,3.8,5.85
2115,1f33,1f0a,-20.3,3.8,5.85
2132,1f38,1ef0,-21.75,3.55,7.15
20d8,1f33,1f4a,-17.25,3.8,2.65
209d,1f3e,1f42,-14.3,3.25,3.05
203c,1f3f,1f55,-9.45,3.2,2.1
1ff4,1f43,1f7b,-5.85,3,0.2
1fb2,1f3f,1f87,-2.55,3.2,-0.4
1fab,1f41,1f66,-2.2,3.1,1.25
1fab,1f41,1f66,-2.2,3.1,1.25
1fde,1f45,1f18,-4.75,2.9,5.15
1fde,1f45,1f18,-4.75,2.9,5.15
203b,1f3c,1.00E+97,-9.4,3.35,11.6
203b,1f3c,1.00E+97,-9.4,3.35,11.6
204c,1f38,1ec0,-10.25,3.55,9.55
2058,1f3d,1ee2,-10.85,3.3,7.85
2133,1f2d,1ec2,-21.8,4.1,9.45
2133,1f2d,1ec2,-21.8,4.1,9.45
2.20E+04,1f1d,1f28,-43.4,4.9,4.35
2.20E+04,1f1d,1f28,-43.4,4.9,4.35
24a1,1f0e,1f45,-65.7,5.65,2.9
24a1,1f0e,1f45,-65.7,5.65,2.9
24ed,1ef4,1ef5,-69.5,6.95,6.9
2.40E+04,1efb,1f4a,-69,6.6,2.65
2481,1f02,1f5f,-64.1,6.25,1.6
242f,1f02,1f3c,-60,6.25,3.35
23a0,1f12,1ef7,-52.85,5.45,6.8
2314,1f1b,1ee6,-45.85,5,7.65
2273,1f28,1ed6,-37.8,4.35,8.45
21d8,1f27,1eba,-30.05,4.4,9.85
2140,1f35,1ecd,-22.45,3.7,8.9
20b5,1f36,1f04,-15.5,3.65,6.15
2065,1f35,1efc,-11.5,3.7,6.55
2058,1f38,1f55,-10.85,3.55,2.1
2083,1f40,1faa,-13,3.15,-2.15
20d6,1f33,1f72,-17.15,3.8,0.65
2178,1f2d,1f8d,-25.25,4.1,-0.7
2218,1f2a,1fb5,-33.25,4.25,-2.7
2289,1f2c,1f49,-38.9,4.15,2.7
22d1,1f20,1f29,-42.5,4.75,4.3
2.20E+09,1f29,1ed1,-43.65,4.3,8.7
2.20E+09,1f29,1ed1,-43.65,4.3,8.7
22f7,1f2d,1.00E+41,-44.4,4.1,15.9
2309,1f39,1.00E+00,-45.3,3.5,19.15
2321,1f30,1df4,-46.5,3.95,19.75
2306,1f2f,1e0b,-45.15,4,18.6
22cb,1f34,1e7e,-42.2,3.75,12.85
22a3,1f3e,1.00E+81,-40.2,3.25,12.7
2254,1f3c,1f02,-36.25,3.35,6.25
221a,1f3e,1f55,-33.35,3.25,2.1
2193,1f44,1f4b,-26.6,2.95,2.6
2193,1f44,1f4b,-26.6,2.95,2.6
2193,1f41,1f7a,-26.6,3.1,0.25
216d,1f43,1.00E+79,-24.7,3,13.1
216d,1f43,1.00E+79,-24.7,3,13.1
21bb,1f43,1eab,-28.6,3,10.6
2.10E+05,1f45,1.00E+75,-30.65,2.9,13.3
2.10E+05,1f45,1.00E+75,-30.65,2.9,13.3
2.10E+08,1f42,1eb0,-30.8,3.05,10.35
21d1,1f41,1ed4,-29.7,3.1,8.55
21b2,1f4c,1eb5,-28.15,2.55,10.1
219d,1f41,1.00E+60,-27.1,3.1,14.35
219d,1f41,1.00E+60,-27.1,3.1,14.35
2158,1f3d,1ebb,-23.65,3.3,9.8
211f,1f44,1.00E+85,-20.8,2.95,12.5
2.00E+04,1f52,1e2a,-17.8,2.25,17.05
20d1,1f49,1.00E+97,-16.9,2.7,11.6
20ce,1f47,1ef7,-16.75,2.8,6.8
20d5,1f49,1f61,-17.1,2.7,1.5
20f0,1f4c,1f61,-18.45,2.55,1.5
