Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
20b4,2.40E+07,1f8c,-15.45,-69.15,-0.65
2094,24f5,1f47,-13.85,-69.9,2.8
2012,249b,1f1e,-7.35,-65.4,4.85
1fe4,246c,1f50,-5.05,-63.05,2.35
1fe4,246c,1f50,-5.05,-63.05,2.35
1faf,2471,1f97,-2.4,-63.3,-1.2
1faf,2471,1f97,-2.4,-63.3,-1.2
1-Feb,2537,1f7c,-5.4,-73.2,0.15
2021,25b9,1f0d,-8.1,-79.7,5.7
2021,25b9,1f0d,-8.1,-79.7,5.7
200f,26ac,1e7c,-7.2,-91.85,12.95
200f,26ac,1e7c,-7.2,-91.85,12.95
2014,2710,1.00E+91,-7.45,-96.85,11.9
202b,2745,1.00E+99,-8.6,-99.5,11.5
203f,273f,1ec6,-9.6,-99.2,9.25
203e,26f9,1f3b,-9.55,-95.7,3.4
2078,26c3,1f1b,-12.45,-93,5
209b,2688,1f33,-14.2,-90.05,3.8
20af,2652,1f83,-15.2,-87.35,-0.2
20c1,25fd,1f5f,-16.1,-83.1,1.6
20b0,25ae,1fa1,-15.25,-79.15,-1.7
2089,255b,1fc9,-13.3,-75,-3.7
2055,252c,201c,-10.7,-72.65,-7.85
2003,2547,2101,-6.6,-74,-19.3
2003,2547,2101,-6.6,-74,-19.3
1fe4,2591,2139,-5.05,-77.7,-22.1
1fd4,25fc,2154,-4.25,-83.05,-23.45
1fc9,2664,20eb,-3.7,-88.25,-18.2
1fb4,26a6,205e,-2.65,-91.55,-11.15
1f9b,26b7,1ff9,-1.4,-92.4,-6.1
1f79,26a1,1fe9,0.3,-91.3,-5.3
1f7e,2677,1ff4,0.05,-89.2,-5.85
1f85,261b,2080,-0.3,-84.6,-12.85
1fbe,25a6,20c6,-3.15,-78.75,-16.35
1fc9,253b,20f3,-3.7,-73.4,-18.6
1fc5,2531,2076,-3.5,-72.9,-12.35
1fc5,2531,2076,-3.5,-72.9,-12.35
1f9a,2510,202b,-1.35,-71.25,-8.6
1f9a,2510,202b,-1.35,-71.25,-8.6
1f8e,24bb,204f,-0.75,-67,-10.4
1f8a,2479,209d,-0.55,-63.7,-14.3
1f8a,2479,209d,-0.55,-63.7,-14.3
1f88,2475,20d8,-0.45,-63.5,-17.25
1fc8,24da,202c,-3.65,-68.55,-8.65
1fcc,2512,1fd8,-3.85,-71.35,-4.45
1fc4,251c,1f7d,-3.45,-71.85,0.1
1fa7,251a,1f54,-2,-71.75,2.15
1f73,24ec,1f18,0.6,-69.45,5.15
1f52,24a5,1ee8,2.25,-65.9,7.55
1f41,2460,1f02,3.1,-62.45,6.25
1f3a,23f5,1f65,3.45,-57.1,1.3
1f44,2393,1f3a,2.95,-52.2,3.45
1f55,234a,1f36,2.1,-48.55,3.65
1f96,237d,1eff,-1.15,-51.1,6.4
1faf,23a8,1eb2,-2.4,-53.25,10.25
1faf,23a8,1eb2,-2.4,-53.25,10.25
1f95,23ce,1e8f,-1.1,-55.15,12
1f81,23bb,1e8d,-0.1,-54.2,12.1
1f81,23bb,1e8d,-0.1,-54.2,12.1
1f6c,23b9,1e6f,0.95,-54.1,13.6
1f6c,23d0,1.00E+69,0.95,-55.25,13.9
1f7d,23c6,1.00E+75,0.1,-54.75,13.3
1f9d,23a5,1ea2,-1.5,-53.1,11.05
1fc0,239e,1f0d,-3.25,-52.75,5.7
1fe5,23c4,1f38,-5.1,-54.65,3.55
2039,241c,1eb8,-9.3,-59.05,9.95
206c,2478,1e5e,-11.85,-63.65,14.45
2080,2486,1.00E+73,-12.85,-64.35,13.4
2065,245c,1ea1,-11.5,-62.25,11.1
2050,241c,1eeb,-10.45,-59.05,7.4
2032,2.30E+07,1f06,-8.95,-56.35,6.05
2014,23ac,1ef6,-7.45,-53.45,6.85
1fe8,234a,1f05,-5.25,-48.55,6.1
1fb6,22d5,1f21,-2.75,-42.7,4.7
1f86,228c,1f08,-0.35,-39.05,5.95
1f79,2265,1f02,0.3,-37.1,6.25
1f79,2265,1f02,0.3,-37.1,6.25
1f7a,2249,1f2c,0.25,-35.7,4.15
1f93,225e,1f50,-1,-36.75,2.35
1f93,228d,1fd8,-1,-39.1,-4.45
1fe0,2309,1fb2,-4.85,-45.3,-2.55
1fe0,2309,1fb2,-4.85,-45.3,-2.55
1fba,22cc,1fef,-2.95,-42.25,-5.6
1f79,2259,2020,0.3,-36.5,-8.05
1f38,221f,20b7,3.55,-33.6,-15.6
1f68,2240,2018,1.15,-35.25,-7.65
1f89,2288,1fe4,-0.5,-38.85,-5.05
1fa0,22c9,1fae,-1.65,-42.1,-2.35
1fa9,2259,1fd6,-2.1,-36.5,-4.35
1fa9,2259,1fd6,-2.1,-36.5,-4.35
1f4f,21b3,2099,2.4,-28.2,-14.1
1f39,2159,206f,3.5,-23.7,-12
1f33,2196,1ffb,3.8,-26.75,-6.2
2029,2269,1f3f,-8.5,-37.3,3.2
2029,2269,1f3f,-8.5,-37.3,3.2
208b,22a1,1f6d,-13.4,-40.1,0.9
209d,22a7,1fb0,-14.3,-40.4,-2.45
207d,2299,1fa0,-12.7,-39.7,-1.65
2048,2239,1faf,-10.05,-34.9,-2.4
2048,2239,1faf,-10.05,-34.9,-2.4
2007,2214,1fc7,-6.8,-33.05,-3.6
1f91,21ba,201c,-0.9,-28.55,-7.85
1f6d,21b0,2029,0.9,-28.05,-8.5
1f6d,21b0,2029,0.9,-28.05,-8.5
1f51,21d4,205f,2.3,-29.85,-11.2
1f51,21d4,205f,2.3,-29.85,-11.2
1f77,2220,2089,0.4,-33.65,-13.3
1f77,2220,2089,0.4,-33.65,-13.3
1fab,2295,205e,-2.2,-39.5,-11.15
1fab,2295,205e,-2.2,-39.5,-11.15
1fbe,22c1,2037,-3.15,-41.7,-9.2
1fc8,230e,2099,-3.65,-45.55,-14.1
1fc8,230e,2099,-3.65,-45.55,-14.1
1f7c,2334,204a,0.15,-47.45,-10.15
1f7c,2334,204a,0.15,-47.45,-10.15
1f5d,230b,204d,1.7,-45.4,-10.3
1f32,22d9,204c,3.85,-42.9,-10.25
1f1e,22a7,204a,4.85,-40.4,-10.15
1f10,226d,2067,5.55,-37.5,-11.6
1f3e,2276,2056,3.25,-37.95,-10.75
1f70,2297,2033,0.75,-39.6,-9
1fa8,22ca,2027,-2.05,-42.15,-8.4
1fba,22ad,2050,-2.95,-40.7,-10.45
2003,229d,2065,-6.6,-39.9,-11.5
2003,229d,2065,-6.6,-39.9,-11.5
2020,2.20E+02,1ffb,-8.05,-43.3,-6.2
2020,2.20E+02,1ffb,-8.05,-43.3,-6.2
1ff0,22ce,2011,-5.65,-42.35,-7.3
1ff0,22ce,2011,-5.65,-42.35,-7.3
1fcd,22cb,2036,-3.9,-42.2,-9.15
1fbe,2.20E+06,201e,-3.15,-43.5,-7.95
1fca,2302,201d,-3.75,-44.95,-7.9
1fda,233b,1ffa,-4.55,-47.8,-6.15
2004,2362,1fd7,-6.65,-49.75,-4.4
2033,2354,1fec,-9,-49.05,-5.45
204d,2317,2016,-10.3,-46,-7.55
205a,22b3,2035,-10.95,-41,-9.1
2052,2252,2028,-10.55,-36.15,-8.45
2031,221e,2031,-8.9,-33.55,-8.9
201b,21f5,201d,-7.8,-31.5,-7.9
