
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
220,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f90,1f40,1f1b,  -0.850,   3.150,   5.000,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f5c,1f6c,1f96,   1.750,   0.950,  -1.150
224,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f90,1f40,1f1b,  -0.850,   3.150,   5.000,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f5c,1f6c,1f96,   1.750,   0.950,  -1.150
226,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f90,1f40,1f1b,  -0.850,   3.150,   5.000,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f5c,1f6c,1f96,   1.750,   0.950,  -1.150
233,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f95,1f45,1f1c,  -1.100,   2.900,   4.950,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f68,1f74,1f9b,   1.150,   0.550,  -1.400
236,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f91,1f44,1f16,  -0.900,   2.950,   5.250,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f68,1f74,1f9b,   1.150,   0.550,  -1.400
240,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f91,1f44,1f16,  -0.900,   2.950,   5.250,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f68,1f74,1f9b,   1.150,   0.550,  -1.400
247,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f91,1f44,1f16,  -0.900,   2.950,   5.250,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f68,1f76,1f9a,   1.150,   0.450,  -1.350
258,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f9c,1f45,1f12,  -1.450,   2.900,   5.450,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f5d,1f7a,1f9a,   1.700,   0.250,  -1.350
263,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f9c,1f45,1f12,  -1.450,   2.900,   5.450,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f5d,1f7a,1f9a,   1.700,   0.250,  -1.350
267,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f9c,1f45,1f12,  -1.450,   2.900,   5.450,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f5d,1f7a,1f9a,   1.700,   0.250,  -1.350
270,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f99,1f49,1f1a,  -1.300,   2.700,   5.050,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f68,1f82,1f9a,   1.150,  -0.150,  -1.350
274,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f99,1f49,1f1a,  -1.300,   2.700,   5.050,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f68,1f82,1f9a,   1.150,  -0.150,  -1.350
278,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f96,1f46,1f14,  -1.150,   2.850,   5.350,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f62,1f81,1fa7,   1.450,  -0.100,  -2.000
281,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f96,1f46,1f14,  -1.150,   2.850,   5.350,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f62,1f81,1fa7,   1.450,  -0.100,  -2.000
288,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f96,1f48,1f1e,  -1.150,   2.750,   4.850,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f60,1f7f,1f9b,   1.550,   0.000,  -1.400
292,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f96,1f48,1f1e,  -1.150,   2.750,   4.850,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f60,1f7f,1f9b,   1.550,   0.000,  -1.400
303,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f95,1f48,1f11,  -1.100,   2.750,   5.500,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f65,1f7f,1f9e,   1.300,   0.000,  -1.550
